configuration,source,device_key,power_scope,method,pair_index,moving_idx,fixed_idx,mi_before,mi_after,ssim_deformed_fixed,ssim_deformed_moving,dice_before,dice_after,flow_min,flow_max,flow_mean,flow_std,tre_before_mm,tre_mm,tre_median_mm,tre_label_count,tre_missing_warped_labels,tre_per_label_mm,model_inference_ms,postprocess_ms,total_runtime_ms,power_wall_time_s,cpu_energy_j,cpu_dynamic_energy_j,cpu_power_mean_w,gpu_energy_j,gpu_dynamic_energy_j,gpu_power_mean_w,gpu_power_peak_w,gpu_power_samples,energy_j,dynamic_energy_j,power_mean_w,process_rss_start_mb,process_rss_end_mb,process_rss_peak_mb,process_rss_delta_mb,process_memory_samples,tre_eligible_label_count,cpu_power_peak_w,cpu_power_samples,cpu_power_backend,power_repetitions
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,0,2,17,0.5340559178971006,0.6228276978946417,0.7224864959716797,0.846047043800354,0.543096125125885,0.7154453992843628,-8.0,7.9375,-0.021393168717622757,1.0151500701904297,3.3141870200634003,2.2062946148216724,2.1364859342575073,16,[],"{'2': 0.800550639629364, '3': 1.1144899129867554, '4': 1.4129079580307007, '7': 3.206111431121826, '8': 1.7360115051269531, '10': 1.3516873121261597, '11': 4.247190475463867, '12': 2.5369603633880615, '13': 2.958393096923828, '14': 0.8377195596694946, '15': 3.0852904319763184, '16': 2.960871934890747, '17': 3.442282199859619, '18': 1.5142323970794678, '26': 2.725707530975342, '28': 1.3703070878982544}",572.9798441752791,99103.37195219472,99676.35179637,100.18991340324283,107.10818650662068,15.99798400554673,1.0690515928038913,75.11564588762107,0.04936645863662381,0.7497326161496594,1.0,987,182.22383239424175,16.047350464183353,1.8187842089535506,712.15625,918.03515625,1334.22265625,205.87890625,991,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,0,2,17,0.5340559178971006,0.6112002234949971,0.723109245300293,0.8144196271896362,0.543096125125885,0.780510663986206,-8.0,7.711564540863037,-0.03255533054471016,1.066027283668518,3.3141870200634003,1.602938361465931,1.4777742624282837,16,[],"{'2': 1.4102873802185059, '3': 1.671812653541565, '4': 1.9128029346466064, '7': 2.907806396484375, '8': 2.038388252258301, '10': 0.7365830540657043, '11': 2.260268211364746, '12': 0.9472572207450867, '13': 1.1415674686431885, '14': 0.7147483229637146, '15': 1.42332923412323, '16': 2.335313558578491, '17': 2.7517805099487305, '18': 1.2440491914749146, '26': 1.5322192907333374, '28': 0.6188001036643982}",1827.4953314103186,97738.71343629435,99566.20876770467,102.14970431290567,107.18240667903248,14.290019319483877,1.0492679092903745,76.78246519919304,0.17018696451378235,0.7516660544018069,1.5,1008,183.96487187822552,14.460206283997659,1.8009339636921813,712.15625,930.0390625,1322.11328125,217.8828125,1016,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,0,2,17,0.5340559178971006,0.6161800569803372,0.7220584750175476,0.8311969041824341,0.543096125125885,0.778408408164978,-7.997010707855225,7.2299485206604,-0.03256513550877571,1.004729986190796,3.3141870200634003,1.6497966274619102,1.6735485792160034,16,[],"{'2': 1.1945397853851318, '3': 1.7231724262237549, '4': 1.86337411403656, '7': 2.9345345497131348, '8': 1.8380682468414307, '10': 0.8937360644340515, '11': 2.2161266803741455, '12': 1.1140121221542358, '13': 1.623924732208252, '14': 0.6908805966377258, '15': 2.2012903690338135, '16': 2.2282965183258057, '17': 2.485842227935791, '18': 1.2951629161834717, '26': 1.4174858331680298, '28': 0.6762988567352295}",1827.4953314103186,97820.32639998943,99647.82173139974,102.23141536675394,107.42806903980164,14.46137569065978,1.0508322579160698,76.84374848957924,0.17018696451378235,0.7516647227655339,1.5,1009,184.27181752938088,14.631562655173562,1.8024969806816038,712.15625,931.30078125,1385.91015625,219.14453125,1017,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,1,1,12,0.5074835462133864,0.6004809187255371,0.7222243547439575,0.845899760723114,0.5371754169464111,0.675072193145752,-8.0,7.9375,0.10527860373258591,0.9846041798591614,4.1216456815600395,2.7512535620480776,2.8774174451828003,16,[],"{'2': 3.174506187438965, '3': 2.5926084518432617, '4': 3.1736929416656494, '7': 0.5904709696769714, '8': 1.5198475122451782, '10': 7.84733247756958, '11': 2.9136364459991455, '12': 1.8440569639205933, '13': 2.841198444366455, '14': 4.30004358291626, '15': 1.2638652324676514, '16': 0.40750524401664734, '17': 3.180741786956787, '18': 1.6270796060562134, '26': 3.5915887355804443, '28': 3.1518824100494385}",575.6437666714191,97333.91678426415,97909.56055093557,98.43360084015876,103.76895308021226,14.255897316192868,1.0542025506993014,73.95004697375803,0.12484634363896807,0.7512683305555559,1.5,969,177.7190000539703,14.380743659831836,1.8054708812548572,979.2421875,1112.10546875,1397.59765625,132.86328125,973,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,1,1,12,0.5074835462133864,0.5927179257324471,0.7238267064094543,0.8132709860801697,0.5371754169464111,0.7612476348876953,-7.725142002105713,7.9375,0.1408461481332779,1.0367130041122437,4.1216456815600395,1.9955992177128792,1.5237399339675903,16,[],"{'2': 3.2992217540740967, '3': 2.385263681411743, '4': 2.131215810775757, '7': 0.734718918800354, '8': 1.5692250728607178, '10': 4.278543949127197, '11': 3.6472597122192383, '12': 3.8485159873962402, '13': 1.199837327003479, '14': 0.8895606398582458, '15': 1.3654584884643555, '16': 0.5184943079948425, '17': 2.878048896789551, '18': 0.6736854314804077, '26': 1.0322827100753784, '28': 1.478254795074463}",1817.3382417298853,97385.36610314623,99202.70434487611,101.76897501572967,107.423141619077,14.876979964147818,1.0555588439647094,76.92006311524102,0.593331853443776,0.7558301840354791,1.5,1002,184.34320473431802,15.470311817591595,1.8113890280001885,979.2421875,1140.1328125,1447.59765625,160.890625,1010,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,1,1,12,0.5074835462133864,0.5965046580618929,0.7214117646217346,0.8280376195907593,0.5371754169464111,0.7560040950775146,-7.038147926330566,7.93596076965332,0.14082874357700348,0.9784644246101379,4.1216456815600395,1.996654313057661,1.4627628922462463,16,[],"{'2': 3.3239381313323975, '3': 2.2844200134277344, '4': 2.7151641845703125, '7': 0.7634543776512146, '8': 1.5124566555023193, '10': 4.515767574310303, '11': 3.0024001598358154, '12': 3.878060817718506, '13': 1.0953700542449951, '14': 0.9255067706108093, '15': 1.4130691289901733, '16': 0.5994573831558228, '17': 2.891726016998291, '18': 0.7008147835731506, '26': 0.9730428457260132, '28': 1.3518201112747192}",1817.3382417298853,97842.81483385712,99660.153075587,102.22640343662351,108.02951105346608,15.067375428286564,1.0567672090747111,77.2631344309114,0.593331853443776,0.7558040959429001,1.5,1006,185.2926454843775,15.66070728173034,1.812571305017611,979.2421875,1031.8203125,1325.35546875,52.578125,1014,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,2,6,0,0.5126965057978938,0.5966884169619697,0.7510210275650024,0.8485522866249084,0.6787030696868896,0.7750275135040283,-8.0,7.9375,-0.022505437955260277,0.8404168486595154,2.632415499538183,1.8652254454791546,1.617653489112854,16,[],"{'2': 0.4162520170211792, '3': 1.7715685367584229, '4': 1.4637384414672852, '7': 3.0080411434173584, '8': 2.589185953140259, '10': 1.1956146955490112, '11': 1.8177895545959473, '12': 4.46319055557251, '13': 4.079664707183838, '14': 0.8979376554489136, '15': 0.7658798098564148, '16': 1.1686289310455322, '17': 1.8635247945785522, '18': 0.7885533571243286, '26': 2.209092378616333, '28': 1.3449445962905884}",573.9700482226908,97519.40716896206,98093.37721718475,98.60582132497802,104.3089115843039,14.639242816902001,1.0578372573007635,74.0283661194315,0.07400012569798331,0.7507504640669651,1.25,968,178.3372777037354,14.713242942599983,1.8085877213677286,1031.78515625,1059.79296875,1449.3984375,28.0078125,972,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,2,6,0,0.5126965057978938,0.5860974688166812,0.751380980014801,0.8189859986305237,0.6787030696868896,0.7880980968475342,-8.0,7.386555194854736,0.001274803769774735,0.8820816874504089,2.632415499538183,1.750111810863018,1.244751214981079,16,[],"{'2': 1.0937869548797607, '3': 3.1406238079071045, '4': 0.8349356055259705, '7': 2.5566439628601074, '8': 2.890545606613159, '10': 1.2735282182693481, '11': 1.5141043663024902, '12': 3.306072950363159, '13': 4.003643989562988, '14': 0.7166382074356079, '15': 1.0965995788574219, '16': 0.6344311833381653, '17': 1.21597421169281, '18': 0.5837476849555969, '26': 2.1808009147644043, '28': 0.9597117304801941}",1836.6249464452267,97753.31294210628,99589.9378885515,102.19220872502774,108.24263936545726,15.311599556135164,1.0592063789981254,76.81698863417206,0.17283209040126024,0.7516912452774781,1.25,1005,185.05962799962936,15.484431646536425,1.8108976242756036,1031.78515625,978.1640625,1364.76953125,-53.62109375,1013,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,2,6,0,0.5126965057978938,0.5873287934390846,0.7493436932563782,0.8375667929649353,0.6787030696868896,0.7875292301177979,-7.89754056930542,6.522536277770996,0.0012611298589035869,0.8155006170272827,2.632415499538183,1.7235284559428692,1.453586220741272,16,[],"{'2': 1.0516570806503296, '3': 3.024545431137085, '4': 0.8762451410293579, '7': 2.5878589153289795, '8': 2.9124650955200195, '10': 1.3910359144210815, '11': 1.9465680122375488, '12': 3.331313371658325, '13': 2.824258804321289, '14': 0.8336279988288879, '15': 0.9781336784362793, '16': 0.7125149369239807, '17': 1.5161365270614624, '18': 0.6014775633811951, '26': 1.9925241470336914, '28': 0.996092677116394}",1836.6249464452267,97853.27737266198,99689.9023191072,102.29222881607711,108.38989393225388,15.367898352633759,1.0596102478824707,76.89200370245909,0.17283209040126024,0.7516895915985173,1.25,1005,185.281897634713,15.54073044303502,1.8112998394809883,1031.78515625,1033.046875,1496.74609375,1.26171875,1013,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,3,16,4,0.5216886606039635,0.6170740199147173,0.7479442358016968,0.8621479868888855,0.613818883895874,0.7414249777793884,-8.0,7.9375,0.013186328113079071,0.9886878728866577,3.745490901172161,2.2419021148234606,1.7003518342971802,16,[],"{'2': 2.969789743423462, '3': 1.6022874116897583, '4': 2.7775015830993652, '7': 0.8154311776161194, '8': 3.81796932220459, '10': 1.2035527229309082, '11': 4.178085803985596, '12': 1.2571405172348022, '13': 1.798416256904602, '14': 0.45143094658851624, '15': 0.9839133024215698, '16': 1.281260371208191, '17': 6.645928859710693, '18': 2.949195384979248, '26': 2.645340919494629, '28': 0.4931895136833191}",567.760553676635,98600.40941694751,99168.16997062415,99.67688480112702,105.34656360954261,14.702896493517722,1.0568805778764816,74.83098349747756,0.07331989663229754,0.7507355757232841,1.25,978,180.17754710702016,14.776216390150019,1.8076161535997657,1033.0625,1058.6875,1345.41015625,25.625,982,,,,,
